,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
purchase_date,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29
weights,2.707943271692046,9.793553165002898,2.029111015174082,16.458446488709505,18.661044159954006,19.597934960218343,3.5551621565945632,1.9857679227401517,0.5836317397151582,6.423092011070914,18.204313109128307
seed_money,2707.943271692046,9793.553165002899,2029.1110151740818,16458.446488709506,18661.044159954006,19597.934960218343,3555.1621565945634,1985.7679227401518,583.6317397151582,6423.092011070914,18204.313109128307
num_shares,46.63239661946007,197.96954042860116,26.70585700413374,619.4372031881635,260.4835868223619,282.2689753740219,69.01887316238718,60.70828256619235,11.236652670680751,76.97857156125256,166.56888195743716
rebalacning_date_1,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28
weights_1,1.7341506289097213,8.904645130465672,1.2662661016216288,17.724766219343337,19.129569006395755,22.224120006900975,3.2443642618446766,1.8994494301594245,4.547807151302772,3.362358904537392,15.962503158518635
seed_money_1,1843.5583095584893,9466.439794944796,1346.1549157494308,18843.022920792162,20336.454810840645,23626.241243591714,3449.0514228967386,2019.2858233763286,4834.728612545583,3574.4903555898595,16969.578564084844
num_shares_1,31.829390703703197,193.27153521732944,17.773368309340253,683.4611142833573,259.45974497117436,313.67818963876414,63.966087219895,61.903305437655696,91.77541026092602,37.58269746177962,144.81633865919818
rebalacning_date_2,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31
weights_2,1.7767981641623996,9.343613023441948,1.3380729958043358,17.912222451493488,17.00538370631601,21.713982004289466,3.0205656330700887,1.9160491974463356,1.264439400476468,7.966434685825412,16.742438737674064
seed_money_2,1601.896880420767,8423.863135386759,1206.3581564790068,16149.011094896456,15331.4381222064,19576.539832019294,2723.232588999289,1727.4405692381522,1139.9727734743585,7182.249018877941,15094.376460681986
num_shares_2,31.872709482458276,205.20982059407453,21.1453328696356,681.6805021062244,239.36671541305856,317.82676892636243,53.87195255794329,55.87836597426279,21.602667680014374,83.58284759376492,153.30450061174005
rebalacning_date_3,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29
weights_3,2.464448964104234,9.745325636316851,1.1381385765723906,17.50438214753566,16.647982097843585,24.266970023496143,2.5969611522355103,1.5019215643444137,1.4460367508642002,7.6964535099528595,14.991379576734149
seed_money_3,2543.143380662607,10056.511920265748,1174.4814477579969,18063.329466136678,17179.58297785622,25041.859288988668,2679.8869282108367,1549.880699609153,1492.211380604437,7942.215514910639,15470.082072253264
num_shares_3,45.830661031944615,215.06655090388682,17.762877310314533,702.5799092235192,228.96951856399065,338.40350390525225,47.76130686527957,42.79074267280931,25.64818460990782,86.5636568382631,135.88126545677
rebalacning_date_4,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28
weights_4,1.2160586498523744,12.35131111444728,1.3699394485312515,17.62356753240254,11.67882700295251,26.94405244457789,2.358867537406796,1.3657984286643643,1.5253090126607614,6.138980633538506,17.42728819496572
seed_money_4,1313.634522819189,13342.37348172966,1479.8626316099137,19037.672836429236,12615.929617353417,29106.028299001096,2548.1417629579155,1475.3893386009922,1647.6989635669875,6631.56904160304,18825.644153598532
num_shares_4,22.451453133125774,271.1313448837566,23.231752458554375,689.7707549430883,163.10186964904224,372.58100741168835,43.880519424107376,40.11390262645438,27.604271462003478,71.63068742280234,157.93325632213532
