Sum of Current % of Portfolio,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,,2001 Total,2002,,,,2002 Total,2003,,,,2003 Total,2004,,,,2004 Total,2005,,,,2005 Total,2006,,,,2006 Total,2007,,,,2007 Total,2008,,,,2008 Total,2009,,,,2009 Total,2010,,,,2010 Total,2011,,,,2011 Total,2012,,,,2012 Total,2013,,,,2013 Total,2014,,,,2014 Total,2015,,,,2015 Total,2016,,,,2016 Total,2017,,,,2017 Total,2018,,,,2018 Total,2019,,,,2019 Total,2020,,2020 Total,Grand Total,,
Row Labels,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,,,ETF,% of Portfolio
Communications,5.5231,5.7885,5.6963,5.5975,22.6054,5.4681,4.7015,5.7693,6.2341,22.173,6.1783,6.25,5.5013,5.7908,23.7204,6.1154,6.2684,6.5644,6.5314,25.4796,6.0589,5.5061,4.217,3.5874,19.3694,3.3622,3.2356,2.8852,2.725,12.208,2.6315,2.3696,2.2124,2.1839,9.3974,1.8704,1.7142,1.4598,1.3531,6.3975,1.5282,1.2665,1.5065,1.3676,5.6688,1.5631,1.5775,1.4648,1.4947,6.1001,1.4401,1.3224,0.9847,1.0194,4.7666,0.9956,1.3415,1.4171,1.6022,5.3564,2.6967,2.8046,3.3706,3.3422,12.2141,3.5837,2.8172,3.1753,3.6734,13.2496,3.9864,3.9296,3.6609,3.8309,15.4078,4.3394,4.193,4.6683,4.5384,17.7391,4.5999,4.952,4.5962,4.1589,18.307,4.0511,3.9663,3.6832,3.8247,15.5253,3.7933,3.9006,3.7923,3.6987,15.1849,4.1155,4.0496,8.1651,279.0355,XLC,3.8247
CONSUMER DISCRETIONARY,3.4773,4.8921,4.9522,5.6426,18.9642,5.1763,4.8523,4.7905,4.8972,19.7163,5.0273,5.0662,5.0923,5.1497,20.3355,4.9432,5.5731,5.8829,5.9331,22.3323,5.5664,5.2941,4.9547,4.5801,20.3953,4.4079,3.9479,4.516,4.0214,16.8932,3.4774,3.4687,3.4122,3.1124,13.4707,3.2954,2.9229,2.7933,2.4802,11.4918,2.811,2.443,2.4374,2.3522,10.0436,2.9667,2.7636,1.3697,0.5467,7.6467,0.5234,0.522,0.7864,2.0579,3.8897,2.8119,3.4634,3.9224,5.1052,15.3029,4.3483,4.903,5.0822,5.4994,19.8329,5.0953,4.5523,4.96,5.5553,20.1629,5.7147,5.6822,2.5618,2.5482,16.5069,2.5429,2.4467,2.6052,2.4516,10.0464,2.36,2.3211,2.3837,2.1294,9.1942,2.0503,2.1549,1.7898,2.4705,8.4655,2.8975,2.109,2.072,1.9173,8.9958,1.7667,1.8705,3.6372,277.324,XLY,2.4705
CONSUMER STAPLES,43.5279,41.5455,46.0285,44.3632,175.4651,44.2882,47.1022,45.639,41.8464,178.8758,41.0535,40.0735,38.1021,39.8249,159.054,39.0901,39.7303,35.7709,36.6667,151.258,41.8007,42.6836,41.813,39.675,165.9723,37.428,36.5789,35.5601,34.7172,144.2842,32.9191,34.804,36.8452,40.064,144.6323,40.5619,36.3963,35.6487,38.7792,151.3861,43.2825,39.2335,39.3474,39.7473,161.6107,42.8704,42.918,45.5189,45.3304,176.6377,43.516,42.8614,40.5519,38.3216,165.2509,34.8744,34.2787,31.8274,29.6344,130.6149,29.0438,26.4369,25.3298,24.0969,104.9074,23.3243,24.2045,24.6078,25.1726,97.3092,24.4618,22.5701,36.986,37.3436,121.3615,37.8417,39.0233,37.0579,30.99,144.9129,29.299,28.7883,24.8369,23.3584,106.2826,20.4535,19.9746,16.9625,18.5125,75.9031,15.283,15.2266,14.996,14.2518,59.7574,15.7388,15.0092,30.748,2646.2241,XLP,18.5125
ENERGY,,,,,,,,0.007,0.0154,0.0224,0.0548,0.0636,0.0712,0.1079,0.2975,0.094,0.0843,0.1036,0.097,0.3789,0.1114,0.1243,0.1307,0.1266,0.493,2.6096,2.6184,2.2362,2.5188,9.983,2.2664,2.3321,2.211,2.2482,9.0577,2.0077,8.8708,8.7992,7.9789,27.6566,6.8246,5.6555,4.7415,3.3743,20.5959,3.4892,3.1288,3.4961,3.8303,13.9444,4.3423,3.9251,3.1722,3.2056,14.6452,2.9374,3.6317,3.9487,4.2532,14.771,4.5646,7.6408,7.9299,7.8237,27.959,6.3283,5.7154,5.1822,1.4382,18.6641,1.2897,2.778,4.3587,4.4234,12.8498,5.7623,5.3208,5.0772,4.7116,20.8719,3.9489,4.115,4.1603,4.2678,16.492,2.3195,1.9939,0.7871,0.7242,5.8247,0.4398,0.4107,0.5602,0.5363,1.947,0.2595,0.1599,0.4194,216.8735,XLE,0.7242
FINANCE,43.1115,42.1752,38.1666,39.3557,162.809,40.1715,39.0144,40.4428,40.9932,160.6219,40.8024,41.7953,45.1605,43.7934,171.5516,44.8702,43.387,46.8601,47.8566,182.9739,43.6553,43.1741,45.4119,48.4171,180.6584,47.786,46.6471,47.3829,45.8466,187.6626,42.8737,41.1488,39.6661,35.0306,158.7192,33.8771,30.4441,33.8434,31.5005,129.6651,25.7101,31.81,33.3082,34.2553,125.0836,42.7993,40.654,40.7386,42.8689,167.0608,43.2393,37.7886,31.9975,32.6872,145.7126,35.7768,36.6416,37.3483,38.2717,148.0384,38.3495,40.1526,40.6976,42.6186,161.8183,44.1066,45.6452,44.2966,46.5973,180.6457,45.7226,45.8935,36.2346,36.268,164.1187,33.4611,32.6273,32.8349,34.2321,133.1554,32.5759,33.6641,41.4278,42.6298,150.2976,40.9198,40.4963,42.5871,45.5183,169.5215,46.4856,47.3721,46.0393,43.5571,183.4541,37.1991,32.0195,69.2186,3132.787,XLF,45.5183
HEALTH CARE,,,,,,,,,,,,1.7015,2.1259,1.9088,5.7362,1.7539,1.6734,1.5058,,4.9331,,,,,,0.2533,3.1446,3.1783,3.0835,9.6597,5.3948,6.1904,6.968,6.8446,25.3978,6.9762,6.83,6.9506,4.3618,25.1186,5.2396,5.3329,4.9185,3.7928,19.2838,3.7285,5.9035,6.1278,5.3777,21.1375,5.0179,5.4103,4.3699,3.513,18.3111,3.5595,2.4674,1.7727,2.3703,10.1699,2.4481,2.3081,2.2088,2.4324,9.3974,2.6724,2.7539,2.8031,2.865,11.0944,3.1368,3.0027,2.3589,2.1907,10.6891,2.3506,2.4556,2.1243,1.8053,8.7358,1.7537,1.6824,1.4225,1.7551,6.6137,1.8133,2.0027,1.6918,1.4715,6.9793,1.4125,1.2563,1.1835,1.4697,5.322,2.01,1.8579,3.8679,202.4473,XLV,1.4715
INDUSTRIALS,2.5412,2.4165,2.1217,2.2442,9.3236,2.4241,2.3803,2.4897,3.5228,10.8169,3.7573,2.6408,2.4383,2.1447,10.9811,2.0363,2.1357,2.1441,1.8195,8.1356,1.8115,2.0204,2.381,2.1647,8.3776,2.5494,2.5604,2.5505,2.5296,10.1899,2.5326,2.2468,1.475,1.4784,7.7328,1.4054,0.8232,0.6739,0.6871,3.5896,0.6641,0.7391,0.9997,1.2576,3.6605,1.7259,1.7699,0.3356,0.354,4.1854,0.3697,0.4555,0.6656,0.8518,2.3426,0.7591,0.6098,1.1633,1.4327,3.9649,1.4484,1.5752,1.6691,1.9929,6.6856,1.9487,1.7994,1.9364,2.7585,8.443,3.0816,3.0857,2.1097,2.4042,10.6812,1.753,1.7266,1.7396,0.3118,5.531,0.2733,0.0814,0.0732,0.0785,0.5064,0.0157,,,,0.0157,,,,,,,,,115.1634,XLI,
INFORMATION TECHNOLOGY,,1.7111,1.6766,1.3093,4.697,1.3339,0.9466,0.0496,1.4688,3.7989,1.8218,1.6809,1.2205,1.1048,5.828,0.941,0.9838,1.0174,0.933,3.8752,0.841,1.0551,0.9659,1.3233,4.1853,1.2649,0.946,0.4491,0.4647,3.1247,0.4678,0.5059,,,0.9737,,,,,,,,,,,,0.4326,0.4334,,0.866,1.3558,7.5304,17.3192,18.1852,44.3906,18.1321,17.538,18.5945,17.3243,71.5889,17.0943,14.1733,13.7065,12.1881,57.1622,12.4396,11.8241,12.3414,11.2918,47.8969,11.9199,11.8112,9.2203,8.4576,41.409,10.4006,10.6282,11.3561,13.6008,45.9857,18.4256,16.6952,14.6546,14.7946,64.57,21.2733,23.8424,26.7529,21.9066,93.7752,24.2341,24.2044,25.9615,29.7417,104.1417,35.5163,44.1837,79.7,677.969,XLK,21.9066
MATERIALS,1.2704,1.3049,1.1416,1.1057,4.8226,0.7209,1.0026,0.8122,1.0221,3.5578,1.0486,0.6377,0.2065,0.1747,2.0675,0.1559,0.1638,0.1509,0.1626,0.6332,0.1546,0.1423,0.1257,0.1258,0.5484,0.0927,0.0741,0.072,,0.2388,,,,,,,,,0.1944,0.1944,0.2878,0.3092,0.3261,0.3963,1.3194,0.4299,0.4031,0.3189,,1.1519,,,,,,,,,,,,,,,,,,,,,,0.6038,0.4614,0.4714,1.5366,0.5297,0.4771,0.512,1.0004,2.5192,1.0264,1.0479,0.978,1.1097,4.162,1.5443,0.376,0.3201,0.3104,2.5508,0.3066,0.3471,0.3408,0.3047,1.2992,0.2368,0.5466,0.7834,27.3852,XLB,0.3104
