,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
purchase_date,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31
weights,0.3104,3.8247,0.7242,45.5183,4.952,21.9066,18.5125,0.28800000000000003,0.0215,1.4715,2.4705
seed_money,310.4,3824.7,724.2,45518.3,4952.0,21906.6,18512.5,288.00000000000006,21.5,1471.5,2470.5
num_shares,6.175983700496625,93.17174177831913,12.693949953374887,1921.4140987758549,77.31459797033568,355.65549151716857,366.2208383366205,9.31607702584241,0.4074284631419367,17.12446336947528,25.091382194411747
rebalacning_date_1,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29
weights_1,0.3066,3.7933,0.4398,46.4856,4.8086,24.2341,15.283,0.3127,0.0263,1.4125,2.8975
seed_money_1,344.60406400773593,4263.491833008953,494.31463584671326,52247.640827912626,5404.641559646443,27237.99526278498,17177.377398011184,351.4601787841456,29.55997026550377,1587.583954373539,3256.6545187945694
num_shares_1,6.210201189542907,91.17818291293742,7.4760229256913675,2032.1913974295069,72.03307423225966,368.0810170646619,306.1375405099124,9.703483677088505,0.5080778663716702,17.303367350120315,28.60478277377751
rebalacning_date_2,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28
weights_2,0.3471,3.9006,0.4107,47.3721,4.8536,24.2044,15.2266,0.297,0.0225,1.2563,2.109
seed_money_2,412.5932846734402,4636.592815318988,488.193782815851,56310.60311402673,5769.41160037744,28771.457503744787,18099.66265747221,353.040062080126,26.745459248494395,1493.3475757281558,2506.941046892208
num_shares_2,7.0516712471960385,94.2205408518388,7.663952634471758,2040.2392432618378,74.58838526667667,368.29822713446987,311.6869753310179,9.598696630781022,0.44807269640633934,16.13034754513022,21.031384621578926
rebalacning_date_3,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30
weights_3,0.3408,3.7923,0.5602,46.0393,4.7082,25.9615,14.995999999999999,0.3245,0.0216,1.1835,2.072
seed_money_3,414.527818875366,4612.716688735477,681.3922656513499,55999.326911821125,5726.760201963023,31577.94592057751,18240.197100513462,394.70151767915576,26.27288992872038,1439.535427344471,2520.2512931624365
num_shares_3,7.126144384998556,93.14855995023176,11.513894316514868,1998.5484265460786,73.75093627769508,392.175185302751,297.0232388945361,10.033083825092927,0.40594700137083406,15.971767750410196,20.88202248042453
rebalacning_date_4,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31
weights_4,0.3047,3.6987,0.5363,43.5571,4.2145,29.7417,14.2518,0.2865,0.0216,1.4697,1.9173
seed_money_4,404.9363363238945,4915.451352678663,712.7251630144556,57885.96158481623,5600.932686042183,39525.74674776624,18940.17616678989,380.74913146306454,28.70569368098497,1953.1832408770192,2548.02900437743
num_shares_4,6.590760682355055,91.62071486819502,11.864910321532472,1881.246720338519,68.73996914632036,431.08023500672095,300.82871929462976,9.841021748851501,0.4440169169525904,19.17140990260129,20.315970374560912
rebalacning_date_5,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31
weights_5,0.2368,4.1155,0.2595,37.1991,2.9493,35.5163,15.7388,0.1922,0.0158,2.01,1.7667
seed_money_5,243.87047682452325,4238.38237910188,267.2482632430903,38309.806817749675,3037.3614750784054,36576.761047478096,16208.735897997492,197.93879073341793,16.271763234068697,2070.0154493973464,1819.4508927613394
num_shares_5,5.415733440473534,95.84763408190594,9.205933973237697,1841.8176354687344,51.47197890320972,454.6520950587706,297.1898771176658,6.385122281723159,0.293502222836737,23.37151913060118,18.56014375967907
rebalacning_date_6,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30
weights_6,0.5466,4.0496,0.1599,32.0195,0.0033,44.1837,15.0092,0.2872,0.0126,1.8579,1.8705
seed_money_6,666.3407089675255,4936.723993843563,194.9284291326515,39033.83887812968,4.022913171593184,53862.78445446114,18297.184356083762,350.1153523883523,15.360213927901247,2264.9001156069626,2280.2603295348636
num_shares_6,11.82713363449637,91.37005355994009,5.154109707367835,1685.3989152905735,0.058523613203275884,515.6307146703155,311.8129576701391,10.052120367164866,0.2721512035418364,22.63768231491217,17.853588549443028
