Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2001-03-30,1.2704,5.5231,,43.1115,2.5412,,43.5279,,0.5485,,3.4773
2001-06-29,1.3049,5.7885,,42.1752,2.4165,1.7111,41.5455,,,,4.8921
2001-09-28,1.1416,5.6963,,38.1666,2.1217,1.6766,46.0285,,0.0832,,4.9522
2001-12-31,1.1057,5.5975,,39.3557,2.2442,1.3093,44.3632,,0.3818,,5.6426
2002-03-29,0.7209,5.4681,,40.1715,2.4241,1.3339,44.2882,,,,5.1763
2002-06-28,1.0026,4.7015,,39.0144,2.3803,0.9466,47.1022,,,,4.8523
2002-09-30,0.8122,5.7693,0.007,40.4428,2.4897,0.0496,45.639,,,,4.7905
2002-12-31,1.0221,6.2341,0.0154,40.9932,3.5228,1.4688,41.8464,,,,4.8972
2003-03-31,1.0486,6.1783,0.0548,40.8024,3.7573,1.8218,41.0535,,0.256,,5.0273
2003-06-30,0.6377,6.25,0.0636,41.7953,2.6408,1.6809,40.0735,,0.0905,1.7015,5.0662
2003-09-30,0.2065,5.5013,0.0712,45.1605,2.4383,1.2205,38.1021,,0.0814,2.1259,5.0923
2003-12-31,0.1747,5.7908,0.1079,43.7934,2.1447,1.1048,39.8249,,,1.9088,5.1497
2004-03-31,0.1559,6.1154,0.094,44.8702,2.0363,0.941,39.0901,,,1.7539,4.9432
2004-06-30,0.1638,6.2684,0.0843,43.387,2.1357,0.9838,39.7303,,,1.6734,5.5731
2004-09-30,0.1509,6.5644,0.1036,46.8601,2.1441,1.0174,35.7709,,,1.5058,5.8829
2004-12-31,0.1626,6.5314,0.097,47.8566,1.8195,0.933,36.6667,,,,5.9331
2005-03-31,0.1546,6.0589,0.1114,43.6553,1.8115,0.841,41.8007,,,,5.5664
2005-06-30,0.1423,5.5061,0.1243,43.1741,2.0204,1.0551,42.6836,,,,5.2941
2005-09-30,0.1257,4.217,0.1307,45.4119,2.381,0.9659,41.813,,,,4.9547
2005-12-30,0.1258,3.5874,0.1266,48.4171,2.1647,1.3233,39.675,,,,4.5801
2006-03-31,0.0927,3.3622,2.6096,47.786,2.7957,1.2649,37.428,,,0.2533,4.4079
2006-06-30,0.0741,3.2356,2.6184,46.6471,2.8075,0.946,36.5789,,,3.1446,3.9479
2006-09-29,0.072,2.8852,2.2362,47.3829,3.7201,0.4491,35.5601,,,3.1783,4.516
2006-12-29,,2.725,2.5188,45.8466,6.6227,0.4647,34.7172,,,3.0835,4.0214
2007-03-30,,2.6315,2.2664,42.8737,9.9694,0.4678,32.9191,,,5.3948,3.4774
2007-06-29,,2.3696,2.3321,41.1488,9.1807,0.5059,34.804,,,6.1904,3.4687
2007-09-28,,2.2124,2.211,39.6661,8.6853,,36.8452,,,6.968,3.4122
2007-12-31,,2.1839,2.2482,35.0306,9.9427,,40.064,,,6.8446,3.1124
2008-03-31,,1.8704,2.0077,33.8771,11.4112,,40.5619,,,6.9762,3.2954
2008-06-30,,1.7142,8.8708,30.4441,12.243,,36.3963,,0.2187,6.83,2.9229
