,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
purchase_date,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15
weights,1.8321,12.7887,0.0,12.2614,17.0288,20.3937,0.0,4.3739,0.0,0.0,31.3214
seed_money,1832.1,12788.7,0.0,12261.4,17028.8,20393.7,0.0,4373.9,0.0,0.0,31321.4
num_shares,31.785218598195694,261.741711011052,0.0,441.85225225225224,227.4145299145299,280.3257731958763,0.0,131.19076184763045,0.0,0.0,280.00536384766673
rebalacning_date_1,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15
weights_1,1.2180975638048723,11.137877724244552,0.0,12.170175659648681,20.82235835528329,21.782156435687128,0.0,3.759292481415037,0.0,0.0,29.11004177991644
seed_money_1,1158.7068429131757,10594.828787195354,0.0,11576.795024728619,19807.123689249904,20720.124943521365,0.0,3576.00084932559,0.0,0.0,27690.72495516529
num_shares_1,21.18294045545111,235.0228213663566,0.0,432.6156586221457,275.0989401284709,303.280517323205,0.0,108.36366210077546,0.0,0.0,259.25217634271405
rebalacning_date_2,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15
weights_2,0.0,13.542,0.0,17.2468,21.8382,18.5828,0.0,4.4617,0.0,0.0,24.3285
seed_money_2,0.0,13224.38114883648,0.0,16842.287461065796,21325.999143739537,18146.952445177856,0.0,4357.053712285019,0.0,0.0,23757.890767941833
num_shares_2,0.0,286.6142424975397,0.0,637.6031596087752,281.82898300171183,260.84450833948335,0.0,124.48724892242912,0.0,0.0,215.96119232744144
rebalacning_date_3,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16
weights_3,0.0,12.2094,0.0,12.3421,23.6022,19.0589,0.0,3.8713,0.5015,0.0,28.4146
seed_money_3,0.0,12494.30905727619,0.0,12630.105641211565,24152.962572415032,19503.643659125035,0.0,3961.6376442276705,513.2026137421993,0.0,29077.66099389651
num_shares_3,0.0,253.17748849597143,0.0,466.9170292499654,319.25137231399157,256.4918945176885,0.0,107.917124604404,8.777195377838197,0.0,249.03786394224483
rebalacning_date_4,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15
weights_4,4.35739128521743,10.446479107041787,4.581190837618325,0.0,20.34735930528139,50.27759944480112,0.0,0.0,0.0,0.0,9.989980020039962
seed_money_4,4381.889318160799,10505.211080499103,4606.947111662517,0.0,20461.755797573103,50560.26909893359,0.0,0.0,0.0,0.0,10046.145474004312
num_shares_4,78.75430118908697,218.31278222151087,81.87217187955424,0.0,280.7210289144341,658.0797748136612,0.0,0.0,0.0,0.0,87.66270047124182
rebalacning_date_5,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15
weights_5,0.0,8.776391223608776,0.0,14.02068597931402,26.251773748226253,16.925983074016926,0.0,3.4002965997034003,0.0,0.0,30.624869375130626
seed_money_5,0.0,9844.085621007462,0.0,15726.37656287992,29445.440830586995,18985.118410871466,0.0,3813.960660078355,0.0,0.0,34350.54666318666
num_shares_5,0.0,189.41861883793462,0.0,528.4400726774167,357.7817840897569,217.64437018080324,0.0,98.909768155559,0.0,0.0,283.02337202922183
rebalacning_date_6,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18
weights_6,0.0,10.061810061810062,0.0,4.79050479050479,13.084813084813087,54.02145402145402,0.0,0.0,0.0,0.0,18.04141804141804
seed_money_6,0.0,12157.666410189233,0.0,5788.358041107109,15810.355348351595,65274.0225617083,0.0,0.0,0.0,0.0,21799.411911664713
num_shares_6,0.0,212.06465044809408,0.0,187.32671541910008,187.79374448689387,642.3344082041754,0.0,0.0,0.0,0.0,165.56096234271067
rebalacning_date_7,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18
weights_7,0.0,13.04198695801304,0.0,7.157792842207158,6.132093867906133,53.26044673955326,0.0,0.0,0.0,0.0,20.407679592320406
seed_money_7,0.0,14148.607133337298,0.0,7765.135726039083,6652.40559748027,57779.62660827414,0.0,0.0,0.0,0.0,22139.283069698486
num_shares_7,0.0,270.2694772366246,0.0,350.6496150841763,104.96064369643847,603.4425755433331,0.0,0.0,0.0,0.0,184.8483181906862
rebalacning_date_8,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17
weights_8,0.0,11.5015,0.0,6.195,4.6764,53.4888,0.0,0.0,4.5436,0.0,19.5947
seed_money_8,0.0,14844.666876091282,0.0,7995.714584826805,6035.69970693851,69036.50981192639,0.0,0.0,5864.298432222609,0.0,25290.33552466599
num_shares_8,0.0,247.82415485962073,0.0,322.7983280107713,78.21303235633678,601.9925864311683,0.0,0.0,97.25204696886583,0.0,173.85258489493359
